image_name,class_name,r,g,b,Brightness,Width_in,Height_in,Confidence,hex_color
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,75,75,75,75.0,0.36,0.18,0.9057,#4b4b4b
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,80,80,80,80.0,0.36,0.2025,0.905,#505050
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,83,83,83,83.0,0.3825,0.18,0.8932,#535353
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,81,81,81,81.0,0.3825,0.18,0.892,#515151
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,64,64,64,64.0,0.36,0.18,0.8849,#404040
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,81,81,81,81.0,0.3825,0.2025,0.8794,#515151
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,74,74,74,74.0,0.36,0.2025,0.8753,#4a4a4a
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,84,84,84,84.0,0.3375,0.2025,0.8687,#545454
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,178,178,178,178.0,0.36,0.18,0.8948,#b2b2b2
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,183,183,183,183.0,0.3375,0.18,0.8424,#b7b7b7
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,194,194,194,194.0,0.36,0.1575,0.8215,#c2c2c2
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,171,171,171,171.0,0.36,0.2025,0.814,#ababab
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,180,180,180,180.0,0.27,0.09,0.7899,#b4b4b4
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,175,175,175,175.0,0.3375,0.18,0.7674,#afafaf
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,189,189,189,189.0,0.36,0.18,0.7308,#bdbdbd
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,178,178,178,178.0,0.27,0.09,0.6954,#b2b2b2
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,182,182,182,182.0,0.3375,0.1575,0.6827,#b6b6b6
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,186,186,186,186.0,0.27,0.1125,0.6419,#bababa
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,190,190,190,190.0,0.2925,0.09,0.5958,#bebebe
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,194,194,194,194.0,0.27,0.1125,0.5912,#c2c2c2
251107_232351_0000097794_CAM1_NG_bmp.rf.7385e2d319694689f72760fc22447574.jpg,incorrect qblock,180,180,180,180.0,0.2925,0.1125,0.5498,#b4b4b4
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,183,183,183,183.0,0.3375,0.18,0.8729,#b7b7b7
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,185,185,185,185.0,0.36,0.2025,0.8701,#b9b9b9
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,189,189,189,189.0,0.3825,0.2025,0.8321,#bdbdbd
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,176,176,176,176.0,0.3375,0.18,0.8244,#b0b0b0
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,162,162,162,162.0,0.3375,0.18,0.7761,#a2a2a2
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,184,184,184,184.0,0.27,0.1125,0.7608,#b8b8b8
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,193,193,193,193.0,0.36,0.18,0.7599,#c1c1c1
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,183,183,183,183.0,0.3375,0.18,0.7555,#b7b7b7
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,176,176,176,176.0,0.27,0.09,0.7339,#b0b0b0
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,189,189,189,189.0,0.2925,0.09,0.721,#bdbdbd
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,191,191,191,191.0,0.27,0.1125,0.6912,#bfbfbf
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,178,178,178,178.0,0.27,0.1125,0.6659,#b2b2b2
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,184,184,184,184.0,0.27,0.1125,0.6037,#b8b8b8
251107_231807_0000096653_CAM1_NG_bmp.rf.7c348ead9e0767bebc00c7f0e72d44ec.jpg,incorrect qblock,186,186,186,186.0,0.27,0.1125,0.567,#bababa
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,175,175,175,175.0,0.3375,0.18,0.8655,#afafaf
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,173,173,173,173.0,0.3375,0.18,0.8408,#adadad
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,177,177,177,177.0,0.36,0.2025,0.8395,#b1b1b1
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,183,183,183,183.0,0.3825,0.18,0.8395,#b7b7b7
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,182,182,182,182.0,0.27,0.1125,0.8235,#b6b6b6
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,189,189,189,189.0,0.36,0.1575,0.7999,#bdbdbd
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,186,186,186,186.0,0.3375,0.18,0.7882,#bababa
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,185,185,185,185.0,0.2925,0.1125,0.7714,#b9b9b9
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,162,162,162,162.0,0.36,0.2025,0.7499,#a2a2a2
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,196,196,196,196.0,0.2925,0.1125,0.7113,#c4c4c4
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,185,185,185,185.0,0.27,0.09,0.7049,#b9b9b9
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,173,173,173,173.0,0.27,0.09,0.65,#adadad
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,183,183,183,183.0,0.27,0.1125,0.631,#b7b7b7
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,189,189,189,189.0,0.27,0.1125,0.5458,#bdbdbd
251107_231827_0000096720_CAM1_NG_bmp.rf.4859b2febbcd2912cbed8afcee870171.jpg,incorrect qblock,184,184,184,184.0,0.27,0.135,0.5456,#b8b8b8
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,96,96,96,96.0,0.36,0.2025,0.9116,#606060
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,102,102,102,102.0,0.3825,0.18,0.8966,#666666
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,72,72,72,72.0,0.36,0.2025,0.8812,#484848
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,94,94,94,94.0,0.36,0.2025,0.8711,#5e5e5e
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,98,98,98,98.0,0.36,0.18,0.836,#626262
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,106,106,106,106.0,0.36,0.2025,0.8346,#6a6a6a
251010_115849_0000080435_CAM1_NG_bmp.rf.86ba6bb34567216df123557a0cf207e6.jpg,qblock,100,100,100,100.0,0.3375,0.2025,0.7875,#646464
